What timeframes are defined in the plans for recovery of business processing?(In hours),Chronus has been in business since 2007. 
"If applicable, describe the bidder’s data backup and data replication strategies.",Yes
Does your solution provide results report templates (variety of report types against measurement criteria)?,N/A
